model,cognitive_state,n,M3_perception,M3_orchestration,M3_elicitation,M3_total
claude-sonnet-4-6,accurate,158,2.911 ± 0.346,2.880 ± 0.380,2.880 ± 0.380,8.671 ± 1.079
claude-sonnet-4-6,comprehension,171,2.971 ± 0.169,2.959 ± 0.251,2.959 ± 0.251,8.889 ± 0.664
claude-sonnet-4-6,confusion,171,2.696 ± 0.510,2.339 ± 0.834,1.988 ± 0.632,7.023 ± 1.831
claude-sonnet-4-6,erroneous,158,2.968 ± 0.176,2.975 ± 0.194,2.165 ± 0.389,8.108 ± 0.571
gemini-2.0-flash,accurate,158,2.905 ± 0.371,2.810 ± 0.494,2.804 ± 0.511,8.519 ± 1.320
gemini-2.0-flash,comprehension,171,2.982 ± 0.132,2.977 ± 0.152,2.977 ± 0.152,8.936 ± 0.422
gemini-2.0-flash,confusion,171,2.392 ± 0.645,1.848 ± 0.982,1.702 ± 0.702,5.942 ± 2.206
gemini-2.0-flash,erroneous,158,2.835 ± 0.420,2.861 ± 0.444,2.165 ± 0.463,7.861 ± 1.114
gpt-4o,accurate,158,1.411 ± 0.577,1.411 ± 0.577,1.684 ± 0.918,4.506 ± 1.934
gpt-4o,comprehension,171,1.766 ± 0.535,1.766 ± 0.524,2.322 ± 0.708,5.854 ± 1.615
gpt-4o,confusion,171,2.181 ± 0.493,1.731 ± 0.734,1.567 ± 0.660,5.480 ± 1.675
gpt-4o,erroneous,158,2.759 ± 0.429,2.684 ± 0.506,2.025 ± 0.478,7.468 ± 1.115
